time,Latitude,Longitude,PM2.5
0:5:25:46,35.238639,126.868392,30
0:5:27:95,35.238643,126.868385,30
0:5:29:143,35.238655,126.868385,30
0:5:31:192,35.238658,126.868385,30
0:5:33:240,35.238662,126.868385,30
0:5:35:288,35.238666,126.868385,30
0:5:37:336,35.238662,126.868385,30
0:5:39:384,35.238662,126.868377,30
0:5:41:432,35.238655,126.86837,30
0:5:43:480,35.238651,126.86837,30
0:5:45:527,35.238651,126.86837,29
0:5:47:575,35.238651,126.86837,29
0:5:49:623,35.238651,126.86837,30
0:5:51:672,35.238651,126.86837,29
0:5:53:719,35.238651,126.86837,29
0:5:55:768,35.238651,126.86837,29
0:5:57:816,35.238651,126.86837,29
0:5:59:865,35.238651,126.86837,29
0:6:1:912,35.238651,126.86837,29
0:6:3:961,35.238651,126.86837,29
0:6:6:9,35.238651,126.86837,29
0:6:8:58,35.238651,126.86837,30
0:6:10:106,35.238651,126.86837,31
0:6:12:153,35.238651,126.86837,74
0:6:14:201,35.238651,126.86837,74
0:6:16:250,35.238651,126.86837,73
0:6:18:297,35.238651,126.86837,71
0:6:20:344,35.238651,126.86837,70
0:6:22:392,35.238651,126.86837,68
0:6:24:440,35.238651,126.86837,25
0:6:26:488,35.238651,126.86837,25
0:6:28:536,35.238651,126.86837,25
0:6:30:584,35.238651,126.86837,25
0:6:32:632,35.238651,126.86837,25
0:6:34:681,35.238651,126.86837,25
0:6:36:729,35.238651,126.86837,26
0:6:38:776,35.238651,126.86837,26
0:6:40:825,35.238651,126.86837,26
0:6:42:873,35.238651,126.86837,26
0:6:44:922,35.238651,126.86837,26
0:6:46:970,35.238651,126.86837,26
0:6:49:18,35.238651,126.86837,26
0:6:51:67,35.238651,126.86837,27
0:6:53:115,35.238651,126.86837,27
0:6:55:164,35.238651,126.86837,27
0:6:57:211,35.238651,126.86837,27
0:6:59:260,35.238651,126.86837,27
0:7:1:307,35.238555,126.868331,28
0:7:3:356,35.238559,126.868293,28
